probeset	189586HUEX1A11	189592HUEX1A11	189598HUEX1A11	189604HUEX1A11	189610HUEX1A11	189616HUEX1A11	189622HUEX1A11	189628HUEX1A11	189634HUEX1A11	189640HUEX1A11	189646HUEX1A11	189652HUEX1A11	189658HUEX1A11	189664HUEX1A11	189670HUEX1A11	189676HUEX1A11	189682HUEX1A11	189688HUEX1A11	189694HUEX1A11	189700HUEX1A11	189706HUEX1A11	189712HUEX1A11	189718HUEX1A11	189724HUEX1A11	189730HUEX1A11	189737HUEX1A11	189738HUEX1A11	189739HUEX1A11	189740HUEX1A11	189741HUEX1A11	189742HUEX1A11	189743HUEX1A11	189744HUEX1A11	189745HUEX1A11	189746HUEX1A11	189747HUEX1A11	189748HUEX1A11	189749HUEX1A11	189750HUEX1A11	189751HUEX1A11	189819HUEX1A11	189820HUEX1A11	189821HUEX1A11	189822HUEX1A11	189823HUEX1A11	190217HUEX1A11	190223HUEX1A11	190229HUEX1A11	190235HUEX1A11	190241HUEX1A11	190247HUEX1A11	190253HUEX1A11	190259HUEX1A11	190265HUEX1A11	190271HUEX1A11	190278HUEX1A21	190279HUEX1A11	190280HUEX1A11	190281HUEX1A11	190282HUEX1A11	190283HUEX1A11	190284HUEX1A11	190285HUEX1A11	190286HUEX1A11	190287HUEX1A11	
ModalAllele	240	77	408	1035	740	1111	290	654	571	1000	0	0	866	261	0	872	593	717	297	118	280	465	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	373	993	186	1261	345	604	83	999	561	697	0	0	0	0	0	0	0	0	0	0	
EstProgAllele	199	77	211	695	506	627	186	318	297	453	0	0	341	155	0	600	301	320	227	105	161	358	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	243	565	158	703	243	439	80	745	411	397	0	0	0	0	0	0	0	0	0	0	
Affymetrix
225740_x_at	174.23	252.59	213.22	263.82	218.46	172.98	385.67	306.33	304.26	252.43	267.10	255.58	298.14	228.84	277.60	277.14	308.85	268.25	220.57	223.40	189.70	473.30	268.08	245.62	181.76	132.64	119.66	193.36	269.41	155.78	153.15	242.55	208.04	202.37	160.76	195.36	217.01	250.88	192.34	102.89	208.35	172.79	180.56	273.38	143.60	247.20	241.42	326.02	265.08	297.98	228.76	247.08	287.48	277.58	317.06	167.11	288.28	284.69	264.66	145.60	173.56	138.30	277.47	276.09	263.84	
1553891_at	126.85	118.15	126.61	130.88	127.15	154.88	120.18	128.96	117.39	136.42	131.40	132.75	123.98	123.46	121.81	133.94	108.92	142.39	139.06	132.30	131.00	110.98	134.96	134.34	125.40	115.69	118.92	121.05	98.48	134.70	109.19	122.30	110.67	120.57	104.77	112.87	101.58	98.23	109.95	127.94	108.40	120.22	111.99	112.25	119.30	136.38	122.63	146.43	133.72	124.84	139.24	130.39	137.22	149.32	130.14	116.25	79.95	112.13	96.50	123.32	115.35	108.64	120.80	109.32	118.33	
222906_at	174.15	235.01	234.73	204.85	203.44	156.87	242.91	223.96	169.85	238.86	205.88	211.40	202.64	212.05	195.26	212.48	259.25	268.45	188.53	183.57	203.85	237.13	182.69	185.77	174.58	93.15	100.78	94.38	182.59	101.83	98.70	98.18	113.26	89.29	99.40	99.25	141.58	100.76	93.56	95.95	156.39	111.67	115.82	102.00	107.56	179.67	186.39	238.72	241.63	182.82	222.33	239.35	175.62	264.17	197.70	108.66	168.76	107.69	120.10	85.27	109.69	103.63	107.49	81.94	132.51	
241434_at	26.33	34.24	37.14	68.92	25.94	40.63	49.64	32.55	45.70	28.70	19.10	57.73	46.81	38.59	51.86	25.08	33.92	36.51	19.85	35.86	8.40	66.17	51.42	12.51	22.10	25.72	36.09	17.87	42.75	32.18	84.48	42.98	29.90	77.14	40.57	50.95	46.62	50.80	38.99	71.20	40.86	31.42	35.69	110.04	22.21	34.39	58.47	46.83	38.96	30.73	39.15	30.58	36.54	32.09	43.79	14.27	38.02	45.54	33.94	53.75	29.41	50.71	54.42	37.04	34.44	
206589_at	451.63	505.23	465.30	619.09	501.12	616.81	488.60	484.75	499.81	680.44	517.92	532.36	509.40	596.59	535.91	570.89	506.37	560.33	717.83	624.62	689.68	567.42	635.99	429.91	550.70	503.81	434.48	587.31	467.82	437.87	440.74	404.96	456.47	448.88	380.64	445.67	427.29	400.29	438.81	416.17	420.98	410.00	420.10	423.96	440.28	502.64	497.41	571.03	543.53	526.21	616.79	437.32	497.53	538.09	521.61	519.38	365.36	423.43	457.96	443.09	423.94	437.76	498.75	515.07	436.73	
206589_at	451.63	505.23	465.30	619.09	501.12	616.81	488.60	484.75	499.81	680.44	517.92	532.36	509.40	596.59	535.91	570.89	506.37	560.33	717.83	624.62	689.68	567.42	635.99	429.91	550.70	503.81	434.48	587.31	467.82	437.87	440.74	404.96	456.47	448.88	380.64	445.67	427.29	400.29	438.81	416.17	420.98	410.00	420.10	423.96	440.28	502.64	497.41	571.03	543.53	526.21	616.79	437.32	497.53	538.09	521.61	519.38	365.36	423.43	457.96	443.09	423.94	437.76	498.75	515.07	436.73	
220015_at	287.87	306.31	330.63	326.48	282.74	328.36	283.05	295.47	306.61	349.66	285.30	277.27	297.00	330.97	276.30	330.57	293.86	307.77	319.97	307.69	321.29	300.02	292.62	269.94	286.96	493.85	450.60	572.74	279.24	504.36	467.49	476.64	597.98	527.77	564.04	466.70	425.24	585.71	635.25	515.09	254.61	510.49	494.91	567.11	461.11	275.19	274.36	302.75	271.41	263.78	324.49	258.19	295.56	302.41	308.32	472.63	266.42	513.72	446.10	444.66	443.50	478.18	498.66	511.40	432.86	
209180_at	132.04	182.79	153.92	180.21	147.87	131.84	198.49	184.35	202.28	152.34	133.51	185.93	172.21	163.97	196.98	149.95	200.10	185.89	126.69	148.38	147.25	212.18	158.95	136.77	127.86	565.72	406.84	745.07	433.05	550.08	590.11	521.67	704.98	700.68	816.49	534.78	467.55	706.41	782.98	490.69	355.03	631.06	728.93	636.03	1069.73	129.17	165.06	197.25	191.72	199.40	160.51	158.23	166.82	155.52	154.09	441.02	426.07	626.84	744.80	514.37	751.98	605.87	857.07	839.10	575.74	
209180_at	132.04	182.79	153.92	180.21	147.87	131.84	198.49	184.35	202.28	152.34	133.51	185.93	172.21	163.97	196.98	149.95	200.10	185.89	126.69	148.38	147.25	212.18	158.95	136.77	127.86	565.72	406.84	745.07	433.05	550.08	590.11	521.67	704.98	700.68	816.49	534.78	467.55	706.41	782.98	490.69	355.03	631.06	728.93	636.03	1069.73	129.17	165.06	197.25	191.72	199.40	160.51	158.23	166.82	155.52	154.09	441.02	426.07	626.84	744.80	514.37	751.98	605.87	857.07	839.10	575.74	
209180_at	132.04	182.79	153.92	180.21	147.87	131.84	198.49	184.35	202.28	152.34	133.51	185.93	172.21	163.97	196.98	149.95	200.10	185.89	126.69	148.38	147.25	212.18	158.95	136.77	127.86	565.72	406.84	745.07	433.05	550.08	590.11	521.67	704.98	700.68	816.49	534.78	467.55	706.41	782.98	490.69	355.03	631.06	728.93	636.03	1069.73	129.17	165.06	197.25	191.72	199.40	160.51	158.23	166.82	155.52	154.09	441.02	426.07	626.84	744.80	514.37	751.98	605.87	857.07	839.10	575.74	
211918_x_at	143.35	138.06	144.29	134.14	131.42	163.31	133.26	130.60	146.35	147.83	144.96	140.31	138.00	148.32	146.78	158.80	142.51	137.51	171.61	142.38	157.76	106.57	155.22	141.23	142.65	158.27	157.00	157.59	138.78	159.16	135.70	150.34	156.39	154.66	138.24	161.54	141.62	140.77	164.01	149.91	156.06	163.55	143.36	127.39	145.94	160.44	141.60	158.88	137.96	146.77	158.51	143.37	128.89	158.46	135.52	176.29	139.59	150.90	151.67	163.96	164.71	160.41	177.26	129.46	171.08	
222880_at	263.12	390.31	296.06	491.56	442.33	368.75	481.48	427.25	508.45	456.34	339.45	465.45	446.87	456.35	503.53	226.65	578.98	466.00	270.67	357.53	383.42	548.96	316.13	280.81	315.56	341.24	249.42	460.14	1307.04	250.67	421.25	326.30	325.64	319.32	385.22	373.38	646.51	340.94	408.06	328.49	1077.94	298.76	384.62	523.94	536.00	243.60	441.29	453.85	515.38	399.46	355.54	282.28	387.34	397.05	369.98	247.09	1160.57	410.96	577.66	296.83	445.23	365.98	381.77	350.92	421.70	
1553412_at	84.41	72.08	73.07	69.74	82.07	74.99	71.42	80.73	75.82	66.60	83.46	76.89	72.60	89.33	84.17	75.24	73.68	77.40	96.48	90.88	87.78	63.23	89.59	86.68	92.23	103.62	95.58	81.72	85.73	75.82	73.67	95.34	84.89	81.42	89.42	85.66	72.24	84.90	81.72	96.91	86.38	82.05	82.57	70.35	70.87	91.42	73.92	83.52	83.09	83.21	93.39	95.45	81.73	84.89	86.38	109.04	74.90	75.27	68.14	108.12	82.70	85.63	66.43	72.43	81.93	
215568_x_at	589.48	534.44	631.98	524.37	586.16	659.63	533.33	580.58	559.36	581.81	553.72	523.16	595.70	605.86	603.44	617.49	493.33	606.90	566.75	553.14	637.52	473.08	542.35	574.09	556.82	548.32	542.34	516.60	443.76	539.11	543.41	579.70	481.73	510.13	460.53	552.99	447.78	503.38	454.22	615.87	478.34	496.01	531.10	491.48	585.37	669.30	603.10	585.16	569.37	648.54	557.76	627.41	569.26	586.79	613.57	492.42	437.97	457.03	393.04	546.91	549.56	544.06	502.63	414.96	466.30	
206329_at	198.59	165.15	170.79	158.86	181.50	197.99	181.12	187.05	194.34	188.74	184.92	157.39	179.47	183.45	198.71	200.37	174.67	171.90	202.18	180.93	204.76	139.85	207.84	199.23	193.76	310.40	230.46	253.47	165.80	259.64	161.26	259.84	280.66	329.42	284.54	218.40	170.58	323.05	271.89	221.01	210.08	254.80	311.04	259.15	332.65	218.42	186.41	167.56	170.55	199.15	180.10	202.62	172.60	197.13	186.77	235.83	145.14	268.03	172.85	221.24	251.81	257.90	244.08	255.29	209.20	
222337_at	78.88	62.08	54.03	49.70	73.93	50.74	33.59	56.22	81.84	42.88	56.47	78.54	39.09	60.12	38.09	64.03	83.69	67.56	58.23	70.88	38.06	81.46	60.29	70.38	66.74	73.97	41.90	56.58	69.84	72.16	102.94	31.19	93.29	62.15	75.26	100.66	64.65	74.45	45.17	58.73	92.80	67.80	79.22	88.45	78.25	65.33	61.47	74.00	74.02	77.17	54.73	61.34	64.93	79.83	43.81	62.00	65.63	49.88	55.01	70.18	76.80	47.83	84.50	60.86	63.59	
222337_at	78.88	62.08	54.03	49.70	73.93	50.74	33.59	56.22	81.84	42.88	56.47	78.54	39.09	60.12	38.09	64.03	83.69	67.56	58.23	70.88	38.06	81.46	60.29	70.38	66.74	73.97	41.90	56.58	69.84	72.16	102.94	31.19	93.29	62.15	75.26	100.66	64.65	74.45	45.17	58.73	92.80	67.80	79.22	88.45	78.25	65.33	61.47	74.00	74.02	77.17	54.73	61.34	64.93	79.83	43.81	62.00	67.63	49.88	55.01	70.18	76.80	47.83	84.50	60.86	63.59	
1557682_a_at	30.36	23.17	26.05	31.35	37.23	35.23	34.11	30.52	38.88	28.36	34.14	30.65	33.52	21.20	35.33	40.05	38.34	31.07	38.19	39.05	29.05	22.53	42.89	30.61	27.89	49.63	47.03	45.00	27.35	42.21	45.87	32.41	39.23	42.95	28.61	47.81	38.96	46.49	35.15	38.33	44.48	44.25	54.21	26.29	33.07	34.80	33.91	35.84	29.96	30.75	40.35	27.59	23.31	33.78	35.49	72.14	25.70	30.25	36.34	58.81	31.85	33.98	43.29	39.68	46.21	
